structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,N,n_agents,T
V,0.2,5,29,0.6566001694751928,0.6681522836496967,0.6681522836496967,0.011552114174503858,1,15,30,40
V,0.2,5,30,0.5607991271544553,0.7795299358352993,0.7795299358352993,0.21873080868084394,6,15,30,40
V,0.2,5,31,0.5760444983928342,0.6729391538116157,0.6729391538116157,0.0968946554187815,1,15,30,40
V,0.2,5,32,0.4668522583197035,0.7135252908085384,0.7135252908085384,0.24667303248883493,5,15,30,40
V,0.2,5,33,0.47363359062807076,0.614464516798966,0.614464516798966,0.1408309261708952,2,15,30,40
V,0.2,5,34,0.5335882754426464,0.7100894564299,0.7100894564299,0.17650118098725354,3,15,30,40
V,0.2,5,35,0.4813443880676367,0.6761980577728468,0.6761980577728468,0.19485366970521012,4,15,30,40
V,0.2,5,36,0.612230888277874,0.761869683309086,0.761869683309086,0.14963879503121202,3,15,30,40
V,0.2,5,37,0.4999127080608399,0.7414361836167448,0.7414361836167448,0.24152347555590487,4,15,30,40
V,0.2,5,38,0.45326646232792683,0.6759967626875044,0.6759967626875044,0.22273030035957758,4,15,30,40
V,0.2,5,39,0.5641261150071908,0.7166268369045153,0.7166268369045153,0.15250072189732455,2,15,30,40
V,0.2,5,40,0.5988898785111119,0.7761483002177804,0.7761483002177804,0.1772584217066685,4,15,30,40
V,0.2,10,1,0.48931728929327556,0.7224612435079324,0.7224612435079324,0.23314395421465683,4,15,30,40
V,0.2,10,2,0.5536270403759354,0.7245093249709996,0.7245093249709996,0.17088228459506427,4,15,30,40
V,0.2,10,3,0.46671427059107934,0.6837634967613717,0.6837634967613717,0.21704922617029238,2,15,30,40
V,0.2,10,4,0.47996163501024736,0.6452540140069856,0.6452540140069856,0.1652923789967382,2,15,30,40
V,0.2,10,5,0.465391675055556,0.6091001758348854,0.6091001758348854,0.1437085007793294,1,15,30,40
V,0.2,10,6,0.3549680392360858,0.6693136862710405,0.6693136862710405,0.3143456470349547,2,15,30,40
V,0.2,10,7,0.500061960693746,0.6514897946880519,0.6514897946880519,0.15142783399430593,2,15,30,40
V,0.2,10,8,0.5731351586872101,0.6999730999618214,0.6999730999618214,0.12683794127461134,2,15,30,40
