structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,N,n_agents,T,fragmentation_cost,sweep,n_agents_setting
V,0.3,2,2,0.5545265234677946,0.6885041221401585,0.6885041221401585,0.13397759867236392,5,15,30,40,0.1,fragmentation_cost,
V,0.3,2,3,0.6545990428811221,0.7048733457597424,0.7048733457597424,0.050274302878620225,2,15,30,40,0.1,fragmentation_cost,
V,0.3,2,4,0.5798966853121141,0.6864735933652067,0.6864735933652067,0.10657690805309261,2,15,30,40,0.1,fragmentation_cost,
V,0.3,2,5,0.5368213807908561,0.6743716966490414,0.6743716966490414,0.13755031585818533,4,15,30,40,0.1,fragmentation_cost,
V,0.3,2,6,0.4728597246838299,0.7844624753422667,0.7844624753422667,0.31160275065843673,5,15,30,40,0.1,fragmentation_cost,
V,0.3,2,7,0.5685811539905348,0.6914815192084615,0.6914815192084615,0.12290036521792669,5,15,30,40,0.1,fragmentation_cost,
V,0.3,2,8,0.5031189851822413,0.741210917679924,0.741210917679924,0.23809193249768268,8,15,30,40,0.1,fragmentation_cost,
V,0.3,2,9,0.44502775518807247,0.7106767086333197,0.7106767086333197,0.2656489534452472,6,15,30,40,0.1,fragmentation_cost,
V,0.3,2,10,0.5191384510741484,0.6760109352117404,0.6760109352117404,0.15687248413759203,6,15,30,40,0.1,fragmentation_cost,
V,0.3,2,11,0.4565406627856302,0.7570930983664377,0.7570930983664377,0.30055243558080746,6,15,30,40,0.1,fragmentation_cost,
V,0.3,2,12,0.4327671864896075,0.6977143635137921,0.6977143635137921,0.26494717702418463,4,15,30,40,0.1,fragmentation_cost,
V,0.3,2,13,0.5317667960948858,0.7402293542930714,0.7402293542930714,0.2084625581981856,4,15,30,40,0.1,fragmentation_cost,
V,0.3,2,14,0.49969140429654924,0.6734095163845466,0.6734095163845466,0.17371811208799737,5,15,30,40,0.1,fragmentation_cost,
V,0.3,2,15,0.5295601250756944,0.709573255184268,0.709573255184268,0.18001313010857356,4,15,30,40,0.1,fragmentation_cost,
V,0.3,2,16,0.518123071831317,0.738466281064735,0.738466281064735,0.220343209233418,4,15,30,40,0.1,fragmentation_cost,
V,0.3,2,17,0.47709555746407023,0.7038858017827342,0.7038858017827342,0.22679024431866396,4,15,30,40,0.1,fragmentation_cost,
V,0.3,2,18,0.5082387262441962,0.6616500865232399,0.6616500865232399,0.15341136027904367,5,15,30,40,0.1,fragmentation_cost,
V,0.3,2,19,0.6421696372608271,0.7644219731698985,0.7644219731698985,0.12225233590907136,5,15,30,40,0.1,fragmentation_cost,
V,0.3,2,20,0.44453272155934626,0.6873384700319188,0.6873384700319188,0.24280574847257258,5,15,30,40,0.1,fragmentation_cost,
V,0.3,5,1,0.4785414558619374,0.748878755020318,0.748878755020318,0.27033729915838056,6,15,30,40,0.1,fragmentation_cost,
V,0.3,5,2,0.4660578848288651,0.7761379498545331,0.7761379498545331,0.310080065025668,4,15,30,40,0.1,fragmentation_cost,
V,0.3,5,3,0.3334458881937028,0.6764504737647576,0.6764504737647576,0.34300458557105484,5,15,30,40,0.1,fragmentation_cost,
V,0.3,5,4,0.5370552914223445,0.7411063402674589,0.7411063402674589,0.20405104884511438,3,15,30,40,0.1,fragmentation_cost,
V,0.3,5,5,0.6184887015476319,0.6650321095003889,0.6650321095003889,0.04654340795275702,3,15,30,40,0.1,fragmentation_cost,
V,0.3,5,6,0.5548769535311773,0.7876224746849373,0.7876224746849373,0.23274552115376002,5,15,30,40,0.1,fragmentation_cost,
V,0.3,5,7,0.4766928579934896,0.6328296538502534,0.6328296538502534,0.15613679585676377,2,15,30,40,0.1,fragmentation_cost,
