structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,N,n_agents,T,shock_every,reshuffle_frac
V,0.4,5,11,0.4324532375880142,0.6422436716805996,0.8052364388655516,0.2097904340925854,15,30,40,10,0.25
V,0.4,5,12,0.5139871884922369,0.6803578236782293,0.7500664453468882,0.16637063518599238,15,30,40,10,0.25
V,0.4,5,13,0.4470132518535507,0.6495664796799903,0.7526639972289387,0.20255322782643959,15,30,40,10,0.25
V,0.4,5,14,0.5254744179872962,0.6301511540093181,0.7136005923389586,0.10467673602202188,15,30,40,10,0.25
V,0.4,5,15,0.5601417860073183,0.7553067812561103,0.7976565373231058,0.19516499524879194,15,30,40,10,0.25
V,0.4,5,16,0.4351360376563663,0.628223180877193,0.7317956052821072,0.19308714322082665,15,30,40,10,0.25
V,0.4,5,17,0.4573279382652927,0.7156180987856013,0.7572992647880514,0.2582901605203086,15,30,40,10,0.25
V,0.4,5,18,0.538154208205606,0.6210228880474583,0.738778792003705,0.08286867984185231,15,30,40,10,0.25
V,0.4,5,19,0.5015238869593058,0.7096784713206398,0.8226847312466398,0.20815458436133394,15,30,40,10,0.25
V,0.4,5,20,0.47626598367510914,0.7535197126089137,0.7648986535627905,0.27725372893380457,15,30,40,10,0.25
V,0.4,10,1,0.6109442883267705,0.654142847483102,0.710790800227271,0.04319855915633153,15,30,40,10,0.25
V,0.4,10,2,0.4931059506091475,0.6301512892403849,0.696868197562837,0.13704533863123736,15,30,40,10,0.25
V,0.4,10,3,0.4204329147707815,0.6428060691107513,0.7135892422138735,0.22237315433996985,15,30,40,10,0.25
V,0.4,10,4,0.436209128461089,0.6456157172235678,0.6621171135291218,0.2094065887624788,15,30,40,10,0.25
V,0.4,10,5,0.4399624301370539,0.6783607761490824,0.742722575173246,0.23839834601202853,15,30,40,10,0.25
V,0.4,10,6,0.4097538031487741,0.6677456564347722,0.7515533724600112,0.25799185328599816,15,30,40,10,0.25
V,0.4,10,7,0.4351605917652245,0.6676331652456404,0.7023098844137446,0.23247257348041594,15,30,40,10,0.25
V,0.4,10,8,0.46578358388926006,0.6770960516369068,0.7120452122322298,0.21131246774764673,15,30,40,10,0.25
V,0.4,10,9,0.4984383818552895,0.6333768331023967,0.6619077193816069,0.13493845124710718,15,30,40,10,0.25
V,0.4,10,10,0.5387257746269614,0.6236436581950128,0.7128690204239944,0.08491788356805141,15,30,40,10,0.25
V,0.4,10,11,0.534165155788769,0.6951774976309951,0.6979993638630684,0.16101234184222613,15,30,40,10,0.25
V,0.4,10,12,0.4739362352696508,0.667135349536352,0.7470125700670642,0.19319911426670122,15,30,40,10,0.25
V,0.4,10,13,0.5023354915238905,0.6553331456739315,0.7779355084232904,0.15299765415004107,15,30,40,10,0.25
V,0.4,10,14,0.5349644446855494,0.6684682989471767,0.6848688046169887,0.13350385426162736,15,30,40,10,0.25
V,0.4,10,15,0.5469654673689257,0.670302452034968,0.6723617529073126,0.12333698466604226,15,30,40,10,0.25
V,0.4,10,16,0.5074122816046821,0.6704789573847786,0.7216979151249441,0.16306667578009648,15,30,40,10,0.25
V,0.4,10,17,0.4792249236469897,0.7037733126525949,0.780557563403295,0.2245483890056052,15,30,40,10,0.25
