structure,tau,K,seed,shock_every,initial_fitness,final_fitness
V,0.5,2,22,40,0.5169629571921005,0.6311892436882336
V,0.5,2,23,40,0.5046434533865141,0.6729864706563549
V,0.5,2,24,40,0.5164050076838804,0.6329135997030169
V,0.5,2,25,40,0.511131421311418,0.6564605832619982
V,0.5,2,26,40,0.5097014583759985,0.6767766396362794
V,0.5,2,27,40,0.6060623530611556,0.7090405366980612
V,0.5,2,28,40,0.5388483321323239,0.7631927618026434
V,0.5,2,29,40,0.5813306064990081,0.6524634569691836
V,0.5,2,30,40,0.5830966624747631,0.7139494915490165
V,0.5,5,1,40,0.36354532334298756,0.6587296551194651
V,0.5,5,2,40,0.6144140691315977,0.7413485416982712
V,0.5,5,3,40,0.7206835106645043,0.7350746775266638
V,0.5,5,4,40,0.5036512285610345,0.6083312149510804
V,0.5,5,5,40,0.42009943300203456,0.6682792523166099
V,0.5,5,6,40,0.41773291216304204,0.6468961070274862
V,0.5,5,7,40,0.46026783916638536,0.6520818458168633
V,0.5,5,8,40,0.5271426595360957,0.609893413402182
V,0.5,5,9,40,0.5071672031911174,0.700202750897285
V,0.5,5,10,40,0.5987418192149966,0.7083813817073635
V,0.5,5,11,40,0.41833731451561895,0.659857270229391
V,0.5,5,12,40,0.3677888857439259,0.8028404370238811
V,0.5,5,13,40,0.4783216519938124,0.6656062423644099
V,0.5,5,14,40,0.46776145553942344,0.7223358223691728
V,0.5,5,15,40,0.6298559019358688,0.6611572825496767
V,0.5,5,16,40,0.5171188282831204,0.7585763291934706
V,0.5,5,17,40,0.4963087101413184,0.6491168501147893
V,0.5,5,18,40,0.6068117068095287,0.7334589981701263
V,0.5,5,19,40,0.5420265277985329,0.6636388043456706
V,0.5,5,20,40,0.4069891022494521,0.6272268884993295
V,0.5,5,21,40,0.583350000778781,0.759569452409781
V,0.5,5,22,40,0.5247204480714494,0.6817460446277127
V,0.5,5,23,40,0.48599686146037047,0.588487420574645
V,0.5,5,24,40,0.5318979978857473,0.6609218762457687
V,0.5,5,25,40,0.5405467129402386,0.7005838386671032
V,0.5,5,26,40,0.5528772697965165,0.6403707389825464
V,0.5,5,27,40,0.5086839351493583,0.6884939452415149
V,0.5,5,28,40,0.5386708333171228,0.7290231532476444
V,0.5,5,29,40,0.6203679104629954,0.6625897921134087
V,0.5,5,30,40,0.5415119852537202,0.6794078219804565
V,0.5,10,1,40,0.6959011784979187,0.6849401788482511
V,0.5,10,2,40,0.6459202581615924,0.675696161938737
V,0.5,10,3,40,0.349087719527946,0.6493477435783365
V,0.5,10,4,40,0.4987280665335491,0.6054065798772842
V,0.5,10,5,40,0.4741060283118594,0.6903868548148697
V,0.5,10,6,40,0.3743825805846981,0.62338110786521
V,0.5,10,7,40,0.5433623562873999,0.7054360671762249
V,0.5,10,8,40,0.49326724239029,0.6399806529604147
V,0.5,10,9,40,0.6411811054943201,0.668380283726897
V,0.5,10,10,40,0.5832250936302792,0.6715222748848101
V,0.5,10,11,40,0.39605022236258286,0.6094750682212474
V,0.5,10,12,40,0.35424548845597215,0.6110722484407176
V,0.5,10,13,40,0.5081775315487131,0.6581417194895939
V,0.5,10,14,40,0.5427236648778595,0.7171618473699871
V,0.5,10,15,40,0.46411982869888513,0.6410628854712352
V,0.5,10,16,40,0.4461995226311677,0.7047653905693133
