structure,tau,K,seed,shock_every,reshuffle_frac,initial_fitness,final_fitness,improvement,N,n_agents,T
V,0.5,5,9,100,0.25,0.4282167737618767,0.729738915902884,0.30152214214100725,15,30,40
V,0.5,5,10,100,0.25,0.3789688083760857,0.6770626821240276,0.29809387374794194,15,30,40
V,0.5,5,11,100,0.25,0.5019599257137238,0.6966982353948159,0.19473830968109207,15,30,40
V,0.5,5,12,100,0.25,0.5057377677397211,0.7599276091960279,0.25418984145630674,15,30,40
V,0.5,5,13,100,0.25,0.533719690457779,0.6656533030053405,0.13193361254756153,15,30,40
V,0.5,5,14,100,0.25,0.46560084941325486,0.7845342039153097,0.31893335450205484,15,30,40
V,0.5,5,15,100,0.25,0.48320037149260975,0.7713266527689332,0.28812628127632345,15,30,40
V,0.5,5,16,100,0.25,0.5662102522879946,0.7312225055492808,0.1650122532612862,15,30,40
V,0.5,5,17,100,0.25,0.5073677554077725,0.6779071388784177,0.17053938347064523,15,30,40
V,0.5,5,18,100,0.25,0.46976607882401245,0.6630920710091078,0.19332599218509539,15,30,40
V,0.5,5,19,100,0.25,0.5032546597832401,0.7329026046481637,0.22964794486492357,15,30,40
V,0.5,5,20,100,0.25,0.39689639611685046,0.7596460227194229,0.3627496266025725,15,30,40
V,0.5,5,21,100,0.25,0.44716696110210363,0.6979617561699365,0.25079479506783287,15,30,40
V,0.5,5,22,100,0.25,0.4138491222865035,0.6931856684855354,0.2793365461990319,15,30,40
V,0.5,5,23,100,0.25,0.40716652509162093,0.6784591377082787,0.27129261261665777,15,30,40
V,0.5,5,24,100,0.25,0.39907036390864226,0.7465167916789518,0.34744642777030954,15,30,40
V,0.5,5,25,100,0.25,0.5759060048674864,0.7424138625461073,0.16650785767862086,15,30,40
V,0.5,5,26,100,0.25,0.6205838860921865,0.6775803677513874,0.056996481659200904,15,30,40
V,0.5,5,27,100,0.25,0.5592444204463527,0.7243622618885472,0.16511784144219455,15,30,40
V,0.5,5,28,100,0.25,0.3872029514124326,0.7056021217796952,0.31839917036726256,15,30,40
V,0.5,5,29,100,0.25,0.4871364132134239,0.6326943302737623,0.14555791706033844,15,30,40
V,0.5,5,30,100,0.25,0.5963168583994282,0.7394776297158377,0.14316077131640959,15,30,40
V,0.5,10,1,100,0.25,0.5010779539803534,0.6532410267235108,0.15216307274315743,15,30,40
