structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,n_improvements,n_stalls,N,n_agents,T
H,0.1,2,29,0.5732612094692039,0.602423904912948,0.602423904912948,0.029162695443744058,1,1,39,15,30,40
H,0.1,2,30,0.5056768913313613,0.5056768913313613,0.5056768913313613,0.0,0,0,40,15,30,40
H,0.1,2,31,0.5085967096636668,0.572128329777741,0.572128329777741,0.0635316201140742,31,1,39,15,30,40
H,0.1,2,32,0.5251050405976863,0.5251050405976863,0.5251050405976863,0.0,0,0,40,15,30,40
H,0.1,2,33,0.5150003890217069,0.5929721554141352,0.5929721554141352,0.07797176639242831,12,1,39,15,30,40
H,0.1,2,34,0.4366503045084495,0.4366503045084495,0.4366503045084495,0.0,0,0,40,15,30,40
H,0.1,2,35,0.47127738705297234,0.47127738705297234,0.47127738705297234,0.0,0,0,40,15,30,40
H,0.1,2,36,0.4760912791838993,0.4760912791838993,0.4760912791838993,0.0,0,0,40,15,30,40
H,0.1,2,37,0.43128448224690247,0.43128448224690247,0.43128448224690247,0.0,0,0,40,15,30,40
H,0.1,2,38,0.526929106851391,0.5946700873460421,0.5946700873460421,0.06774098049465105,3,1,39,15,30,40
H,0.1,2,39,0.4317713894812719,0.5549248329271163,0.5549248329271163,0.12315344344584434,34,2,38,15,30,40
H,0.1,2,40,0.4468543792073578,0.4468543792073578,0.4468543792073578,0.0,0,0,40,15,30,40
H,0.1,5,1,0.45584579462573,0.45584579462573,0.45584579462573,0.0,0,0,40,15,30,40
H,0.1,5,2,0.5089038752502444,0.5795373436361785,0.5795373436361785,0.0706334683859341,3,1,39,15,30,40
H,0.1,5,3,0.39290687678526354,0.558631387446765,0.558631387446765,0.16572451066150146,33,2,38,15,30,40
H,0.1,5,4,0.49267887991724213,0.49267887991724213,0.49267887991724213,0.0,0,0,40,15,30,40
H,0.1,5,5,0.5472711588117402,0.5472711588117402,0.5472711588117402,0.0,0,0,40,15,30,40
H,0.1,5,6,0.4899889816279512,0.4899889816279512,0.4899889816279512,0.0,0,0,40,15,30,40
H,0.1,5,7,0.6136894224548854,0.6136894224548854,0.6136894224548854,0.0,0,0,40,15,30,40
